,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmpOverall,Age,Complain,Customer_Days,Income,Kidhome,MntFishProducts,MntFruits,MntGoldProds,MntMeatProducts,MntRegularProds,MntSweetProducts,MntTotal,MntWines,NumCatalogPurchases,NumDealsPurchases,NumStorePurchases,NumWebPurchases,NumWebVisitsMonth,Recency,Response,Teenhome,Z_CostContact,Z_Revenue,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,Marital,Education,ChildrenTotal
40,0,0,0,0,0,0,63,0,2711,21994.0,0,3,0,3,6,16,1,19,9,0,1,3,0,5,4,0,1,3,11,0,0,1,0,0,0,0,0,1,0,Together,Graduation,1
41,0,0,0,0,0,0,45,0,2429,7500.0,1,3,1,12,10,7,2,19,3,0,3,3,2,5,19,0,0,3,11,0,0,0,1,0,0,1,0,0,0,Married,Master,1
42,0,0,0,0,0,0,44,0,2160,79941.0,0,227,164,174,266,636,30,810,123,4,1,9,2,1,72,0,0,3,11,0,0,1,0,0,0,0,1,0,0,Single,Graduation,0
43,0,0,0,0,0,0,24,0,2756,7500.0,0,15,18,50,14,22,22,72,3,1,3,3,3,9,24,1,0,3,11,1,0,0,0,0,0,1,0,0,0,Married,2n Cycle,0
44,0,0,0,0,0,0,52,0,2560,41728.0,1,3,6,13,15,29,5,42,13,0,1,2,2,10,92,0,0,3,11,0,0,1,0,0,0,0,0,1,0,Together,Graduation,1
45,0,0,0,0,0,0,66,0,2757,72550.0,1,50,50,38,317,1243,38,1281,826,2,9,12,5,8,39,0,1,3,11,0,0,0,0,1,0,1,0,0,0,Married,PhD,2
46,0,0,0,0,0,0,63,0,2207,65486.0,0,37,19,14,125,479,67,493,245,2,1,10,4,2,29,0,1,3,11,0,0,1,0,0,0,0,0,0,1,Widow,Graduation,1
47,0,0,0,0,0,0,56,0,2846,79143.0,0,27,37,32,780,1629,167,1661,650,9,1,13,6,3,2,0,0,3,11,0,0,0,1,0,0,1,0,0,0,Married,Master,0
48,0,0,0,0,0,0,43,0,2702,35790.0,1,30,6,3,20,66,1,69,12,0,2,3,2,7,54,0,0,3,11,0,0,1,0,0,0,0,1,0,0,Single,Graduation,1
49,1,0,1,0,0,2,43,0,2181,82582.0,0,156,120,241,550,1135,40,1376,510,9,1,7,4,1,54,1,0,3,11,0,0,1,0,0,1,0,0,0,0,Divorced,Graduation,0
50,0,0,0,0,0,0,42,0,2541,66373.0,1,12,9,109,124,388,24,497,328,2,7,10,4,3,57,0,1,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,2
51,0,0,0,0,1,1,65,0,2746,82384.0,0,180,51,190,432,1577,120,1767,984,10,1,13,3,1,55,1,0,3,11,0,0,0,1,0,0,0,0,1,0,Together,Master,0
52,0,0,0,0,0,0,54,0,2612,70287.0,0,121,35,40,482,1013,120,1053,295,5,1,10,5,3,30,1,0,3,11,0,0,1,0,0,1,0,0,0,0,Divorced,Graduation,0
53,0,0,0,0,0,0,32,0,2221,27938.0,1,2,0,5,8,19,1,24,13,0,1,4,1,3,31,0,0,3,11,0,0,1,0,0,0,0,1,0,0,Single,Graduation,1
54,0,0,0,0,0,0,52,0,2277,55954.0,0,0,0,43,28,432,0,475,447,2,3,6,8,7,63,0,1,3,11,0,0,0,0,1,0,1,0,0,0,Married,PhD,1
55,0,0,0,1,1,2,38,0,2519,75777.0,0,69,26,80,538,1278,13,1358,712,6,1,11,3,1,12,1,0,3,11,0,0,0,1,0,0,0,1,0,0,Single,Master,0
56,0,0,0,0,0,0,45,0,2819,66653.0,1,16,18,6,102,600,18,606,452,2,4,12,4,3,18,0,1,3,11,0,0,1,0,0,0,0,0,1,0,Together,Graduation,2
57,0,0,0,0,0,0,68,0,2655,61823.0,0,37,7,169,134,546,14,715,523,2,4,10,8,7,26,0,1,3,11,0,0,1,0,0,0,0,1,0,0,Single,Graduation,1
58,0,0,0,0,0,0,69,0,2542,67680.0,0,0,0,6,48,594,6,600,546,3,1,8,7,5,8,0,1,3,11,0,0,0,0,1,0,0,0,0,1,Widow,PhD,1
59,0,0,0,0,0,0,72,0,2364,70666.0,0,119,40,30,367,1016,122,1046,398,4,1,4,7,4,29,0,0,3,11,0,0,1,0,0,0,0,0,1,0,Together,Graduation,0
60,0,0,0,0,0,0,49,0,2563,25721.0,1,3,3,15,6,4,6,19,1,1,1,2,1,7,75,1,0,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,1
61,0,0,0,0,0,0,53,0,2208,32474.0,1,0,0,0,1,11,0,11,10,0,1,2,1,7,0,0,1,3,11,0,0,1,0,0,0,0,0,1,0,Together,Graduation,2
62,1,0,1,0,0,2,41,0,2261,88194.0,0,201,14,38,309,1198,24,1236,688,10,1,10,11,5,19,1,1,3,11,1,0,0,0,0,0,0,1,0,0,Single,2n Cycle,1
63,0,0,0,0,0,0,62,0,2434,69096.0,0,7,49,109,159,435,82,544,247,2,1,10,5,4,4,0,1,3,11,0,0,1,0,0,0,0,0,1,0,Together,Graduation,1
64,0,0,0,0,0,0,50,0,2606,74854.0,1,58,59,73,487,1416,29,1489,856,5,7,5,2,5,90,0,2,3,11,0,0,1,0,0,0,0,0,1,0,Together,Graduation,3
65,0,0,0,0,0,0,66,0,2815,66991.0,0,189,36,12,460,1229,60,1241,496,8,3,6,4,3,1,0,0,3,11,0,0,0,1,0,0,1,0,0,0,Married,Master,0
66,0,0,0,0,0,0,61,0,2628,65031.0,0,84,107,86,291,691,37,777,258,3,4,13,10,7,29,0,1,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,1
67,0,0,0,1,0,1,45,0,2609,60631.0,1,0,6,19,65,623,6,642,565,2,5,8,9,7,88,0,1,3,11,0,0,0,0,1,0,1,0,0,0,Married,PhD,2
68,0,0,0,0,0,0,68,0,2219,28332.0,0,4,10,9,13,47,15,56,14,1,1,4,2,2,58,0,0,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,0
69,0,0,0,0,0,0,43,0,2716,40246.0,1,2,1,1,6,11,1,12,2,0,1,2,1,6,68,0,0,3,11,0,0,1,0,0,1,0,0,0,0,Divorced,Graduation,1
70,0,0,0,0,0,0,48,0,2830,75251.0,0,97,111,18,925,1854,18,1872,721,6,1,5,7,5,34,1,0,3,11,0,0,0,1,0,0,1,0,0,0,Married,Master,0
71,0,0,1,0,0,1,44,0,2784,75825.0,0,137,105,51,779,2107,105,2158,1032,8,0,9,5,4,40,1,0,3,11,0,0,1,0,0,0,0,1,0,0,Single,Graduation,0
72,0,0,0,0,0,0,44,1,2457,26326.0,0,0,0,9,5,0,3,9,1,0,1,3,0,3,12,0,0,3,11,1,0,0,0,0,0,0,0,1,0,Together,2n Cycle,0
73,0,0,1,0,0,1,55,0,2702,56046.0,0,0,0,51,64,590,0,641,577,1,2,8,10,8,9,1,0,3,11,0,0,1,0,0,0,0,0,1,0,Together,Graduation,0
74,0,0,0,0,0,0,35,0,2828,29760.0,1,7,4,17,68,131,5,148,64,1,4,4,3,8,87,0,0,3,11,0,0,1,0,0,0,0,1,0,0,Single,Graduation,1
75,0,0,0,0,0,0,51,0,2530,26304.0,1,2,1,4,5,8,0,12,4,0,1,2,1,7,5,0,0,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,1
76,0,0,0,0,0,0,47,0,2520,23559.0,1,7,5,23,19,33,0,56,25,0,3,3,3,7,87,0,0,3,11,1,0,0,0,0,0,1,0,0,0,Married,2n Cycle,1
77,0,0,0,0,0,0,57,0,2573,38620.0,0,34,17,89,44,140,22,229,112,5,1,3,2,3,56,0,0,3,11,0,0,0,1,0,0,0,0,1,0,Together,Master,0
78,0,0,0,0,0,0,33,0,2283,81361.0,0,27,23,76,424,626,65,702,163,10,1,13,3,1,18,0,0,3,11,0,0,1,0,0,1,0,0,0,0,Divorced,Graduation,0
79,0,0,0,0,0,0,60,0,2481,29440.0,1,10,8,3,14,50,4,53,17,0,2,4,1,7,95,0,1,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,2
80,0,0,0,1,0,1,50,0,2507,36138.0,1,0,0,5,16,141,0,146,130,1,5,4,3,7,48,0,1,3,11,0,0,0,1,0,0,1,0,0,0,Married,Master,2
81,1,0,0,1,0,2,63,0,2191,50388.0,0,0,6,34,37,304,3,338,292,1,4,6,6,7,3,1,1,3,11,0,0,1,0,0,0,0,1,0,0,Single,Graduation,1
82,0,0,0,0,1,1,47,0,2207,79593.0,0,110,60,145,568,1076,133,1221,350,6,1,7,5,2,70,0,0,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,0
83,0,0,0,0,0,0,53,0,2318,54178.0,0,4,9,7,39,180,0,187,135,2,1,5,2,2,79,0,1,3,11,0,0,1,0,0,0,0,0,1,0,Together,Graduation,1
84,0,0,0,0,0,0,48,0,2257,42394.0,1,0,2,4,10,24,1,28,15,0,1,3,1,7,69,0,0,3,11,0,0,0,1,0,0,0,1,0,0,Single,Master,1
85,0,0,0,0,0,0,50,0,2195,23626.0,1,0,2,0,14,43,0,43,27,1,3,3,3,5,84,0,0,3,11,0,0,0,0,1,0,1,0,0,0,Married,PhD,1
86,0,0,0,0,0,0,37,0,2197,30096.0,1,12,3,9,11,27,5,36,5,0,1,3,2,6,30,0,0,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,1
87,0,0,0,1,0,1,60,0,2743,47916.0,0,0,0,75,26,456,0,531,505,4,5,6,7,6,72,0,1,3,11,0,0,1,0,0,0,0,0,0,1,Widow,Graduation,1
88,0,0,0,0,0,0,48,0,2603,51813.0,1,0,2,2,7,59,1,61,51,0,2,3,2,7,37,0,1,3,11,0,0,1,0,0,1,0,0,0,0,Divorced,Graduation,2
89,1,0,0,0,0,1,69,0,2369,78497.0,0,75,26,223,447,532,0,755,207,7,1,12,5,2,44,0,0,3,11,1,0,0,0,0,0,1,0,0,0,Married,2n Cycle,0
90,0,0,0,0,0,0,37,0,2533,50150.0,0,65,46,11,92,388,61,399,135,2,2,7,5,5,32,0,0,3,11,0,0,0,0,1,0,1,0,0,0,Married,PhD,0
91,0,0,0,0,0,0,60,0,2500,47823.0,0,2,1,10,5,52,1,62,53,0,2,3,2,8,0,0,1,3,11,1,0,0,0,0,0,0,1,0,0,Single,2n Cycle,1
92,0,0,0,0,0,0,61,0,2250,34554.0,0,2,1,5,6,45,0,50,41,0,2,3,2,6,43,0,1,3,11,0,0,0,0,1,0,0,1,0,0,Single,PhD,1
93,0,0,0,0,0,0,41,0,2594,85693.0,0,185,172,111,183,947,132,1058,386,5,2,11,9,5,59,0,1,3,11,0,0,1,0,0,0,0,0,1,0,Together,Graduation,1
94,0,0,0,0,0,0,75,0,2567,65846.0,0,80,81,81,276,958,40,1039,562,3,1,6,6,4,68,0,0,3,11,0,0,0,0,1,0,1,0,0,0,Married,PhD,0
95,0,0,0,0,0,0,61,0,2211,87195.0,0,50,76,38,690,1021,26,1059,217,11,1,5,3,1,35,1,0,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,0
96,0,0,0,0,0,0,41,0,2360,24594.0,1,10,3,9,6,11,0,20,1,0,1,3,1,5,94,0,0,3,11,0,1,0,0,0,0,0,0,1,0,Together,Basic,1
97,0,0,0,0,0,0,56,0,2437,49096.0,1,2,1,7,32,173,1,180,144,1,4,4,4,7,15,0,1,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,2
98,0,0,0,0,0,0,51,0,2671,52413.0,0,75,106,65,271,780,98,845,295,4,4,12,6,6,56,0,2,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,2
99,0,0,0,0,0,0,42,0,2716,38557.0,1,4,3,27,31,91,4,118,76,1,2,3,3,7,17,0,0,3,11,0,0,1,0,0,0,0,1,0,0,Single,Graduation,1
100,0,0,0,0,0,0,60,0,2728,89058.0,0,31,194,43,106,764,22,807,454,4,1,4,5,2,18,0,0,3,11,0,0,0,1,0,0,1,0,0,0,Married,Master,0
101,0,0,0,0,0,0,41,0,2398,77298.0,0,23,115,79,292,811,35,890,425,6,1,11,6,3,46,0,1,3,11,0,0,1,0,0,0,0,0,1,0,Together,Graduation,1
102,0,0,0,1,0,1,29,0,2755,68126.0,0,23,17,86,311,1648,51,1734,1332,4,1,5,7,9,40,1,0,3,11,0,0,0,0,1,0,0,1,0,0,Single,PhD,0
103,0,0,0,1,0,1,57,0,2163,57288.0,0,0,0,60,21,488,0,548,527,1,3,8,8,6,27,0,1,3,11,0,0,0,1,0,0,0,0,1,0,Together,Master,1
104,0,0,0,1,1,2,29,0,2702,86037.0,0,29,44,22,125,686,20,708,490,7,1,11,6,3,95,1,0,3,11,0,0,1,0,0,0,0,1,0,0,Single,Graduation,0
105,0,0,0,0,0,0,40,0,2723,43974.0,1,0,0,72,101,407,0,479,378,4,5,6,6,7,19,0,0,3,11,0,0,0,0,1,0,1,0,0,0,Married,PhD,1
106,0,0,0,0,0,0,58,0,2451,50785.0,1,0,1,27,21,60,1,87,64,1,2,3,2,6,27,0,1,3,11,0,0,1,0,0,0,0,1,0,0,Single,Graduation,2
107,1,0,0,0,1,2,50,0,2315,90765.0,0,151,99,33,812,1658,82,1691,547,6,0,5,4,1,25,0,0,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,0
108,0,0,0,0,0,0,42,0,2654,36550.0,1,123,90,120,94,337,103,457,47,1,5,5,9,9,74,0,0,3,11,1,0,0,0,0,0,1,0,0,0,Married,2n Cycle,1
109,0,0,0,0,0,0,53,0,2512,30753.0,1,0,5,30,25,21,9,51,12,1,2,3,1,5,85,0,1,3,11,1,0,0,0,0,0,0,0,1,0,Together,2n Cycle,2
110,0,0,0,0,0,0,51,0,2386,21918.0,1,11,6,3,7,27,5,30,1,0,2,3,2,6,37,0,0,3,11,0,0,1,0,0,0,0,0,1,0,Together,Graduation,1
111,0,0,0,0,0,0,67,0,2533,56129.0,0,39,48,48,133,564,72,612,320,2,4,10,6,4,65,0,1,3,11,0,0,0,1,0,0,0,0,1,0,Together,Master,1
112,0,0,0,0,0,0,53,0,2284,32557.0,1,0,3,10,29,60,4,70,34,1,3,3,2,5,13,1,0,3,11,0,0,0,1,0,0,0,1,0,0,Single,Master,1
113,0,0,0,0,0,0,35,0,2457,19510.0,2,3,0,7,7,16,4,23,9,0,2,3,1,7,63,0,0,3,11,0,0,0,1,0,0,1,0,0,0,Married,Master,2
114,0,0,0,0,0,0,44,0,2592,30992.0,1,7,0,2,14,39,3,41,17,0,1,3,1,7,83,0,0,3,11,0,0,1,0,0,1,0,0,0,0,Divorced,Graduation,1
115,1,0,0,1,1,3,37,0,2633,101970.0,0,44,27,168,102,799,72,967,722,8,0,13,6,2,69,1,0,3,11,0,0,1,0,0,0,0,1,0,0,Single,Graduation,0
116,0,0,0,0,0,0,55,0,2655,71488.0,0,40,33,172,124,215,28,387,162,4,2,7,3,1,87,0,0,3,11,1,0,0,0,0,0,0,0,1,0,Together,2n Cycle,0
117,0,0,0,0,0,0,36,0,2593,79607.0,0,173,133,216,951,1491,0,1707,450,6,1,6,3,1,37,1,0,3,11,0,0,1,0,0,0,0,1,0,0,Single,Graduation,0
118,0,0,0,0,0,0,67,0,2180,54348.0,1,0,0,4,16,82,0,86,70,0,2,4,2,6,51,0,1,3,11,0,0,0,1,0,0,1,0,0,0,Married,Master,2
119,0,0,0,0,0,0,64,0,2209,77376.0,1,16,19,12,110,637,12,649,492,3,4,10,6,4,72,0,1,3,11,0,0,0,0,1,0,0,0,1,0,Together,PhD,2
120,0,0,0,0,0,0,68,0,2431,62998.0,0,65,58,58,73,347,89,405,120,4,5,5,5,5,10,0,1,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,1
121,0,0,0,0,0,0,62,0,2635,61331.0,1,0,5,41,47,550,5,591,534,1,5,6,11,8,42,0,1,3,11,0,0,0,1,0,0,0,1,0,0,Single,Master,2
122,0,0,0,0,0,0,51,0,2298,73448.0,0,23,106,130,189,465,41,595,236,2,1,9,7,4,10,0,0,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,0
123,0,0,0,0,0,0,56,0,2478,41551.0,1,3,0,23,33,233,0,256,220,1,5,5,5,8,51,0,1,3,11,0,0,0,0,1,0,1,0,0,0,Married,PhD,2
124,0,0,0,1,0,1,53,0,2628,62981.0,0,38,14,0,590,1482,44,1482,796,5,1,13,4,3,21,0,0,3,11,0,0,0,0,1,0,0,0,1,0,Together,PhD,0
125,0,0,0,0,0,0,44,0,2849,9548.0,1,10,1,9,3,11,6,20,0,0,2,3,1,8,31,0,0,3,11,0,1,0,0,0,1,0,0,0,0,Divorced,Basic,1
126,0,0,0,0,0,0,61,0,2516,33762.0,2,2,1,16,34,74,0,90,53,2,3,2,2,8,61,0,1,3,11,0,0,0,0,1,0,1,0,0,0,Married,PhD,3
127,0,0,1,0,0,1,47,0,2200,35860.0,1,4,0,20,8,9,2,29,15,1,2,2,1,5,37,1,1,3,11,0,0,0,0,1,0,0,1,0,0,Single,PhD,2
128,0,0,0,0,0,0,55,0,2495,36921.0,1,3,1,4,12,30,1,34,17,0,2,3,2,7,74,0,1,3,11,0,0,0,0,1,1,0,0,0,0,Divorced,PhD,2
129,0,0,0,0,0,0,28,0,2777,92859.0,0,52,61,20,921,2037,61,2057,962,4,1,12,5,2,46,0,0,3,11,0,0,0,1,0,0,0,1,0,0,Single,Master,0
130,0,0,0,0,0,0,44,0,2386,65104.0,0,13,0,50,232,953,20,1003,738,5,2,7,3,7,4,1,1,3,11,0,0,0,1,0,0,0,0,1,0,Together,Master,1
131,0,0,0,0,0,0,58,0,2595,86111.0,0,36,28,126,756,1133,40,1259,399,7,1,10,5,2,73,0,0,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,0
132,0,0,0,0,0,0,46,0,2464,68352.0,0,43,16,33,132,805,33,838,614,5,3,9,8,6,47,0,1,3,11,0,0,0,0,1,0,0,1,0,0,Single,PhD,1
133,0,0,0,0,0,0,32,0,2626,41883.0,1,73,34,116,41,80,16,196,32,2,3,3,4,7,13,0,0,3,11,0,0,1,0,0,0,0,0,1,0,Together,Graduation,1
134,0,0,0,0,0,0,44,0,2778,59809.0,0,32,16,49,141,779,41,828,598,3,3,6,3,8,36,0,2,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,2
135,0,0,0,0,0,0,45,0,2768,23957.0,1,20,1,16,18,36,11,52,2,0,1,3,2,6,47,1,0,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,1
136,0,0,0,0,0,0,39,1,2464,38547.0,1,0,1,4,10,14,1,18,6,0,1,2,1,8,49,0,0,3,11,0,0,1,0,0,0,0,0,1,0,Together,Graduation,1
137,0,0,0,0,0,0,47,0,2835,35688.0,2,12,3,32,90,147,1,179,73,1,7,4,4,8,94,0,1,3,11,1,0,0,0,0,0,1,0,0,0,Married,2n Cycle,3
138,0,0,0,0,0,0,54,0,2167,49605.0,0,12,16,8,29,111,20,119,42,1,1,4,2,3,65,0,0,3,11,0,0,0,1,0,0,1,0,0,0,Married,Master,0
139,0,0,0,0,0,0,67,0,2225,59354.0,0,39,21,13,78,433,13,446,295,4,1,7,4,3,59,0,2,3,11,0,0,0,1,0,0,1,0,0,0,Married,Master,2
140,0,0,0,1,0,1,51,0,2273,65747.0,0,23,17,13,48,434,13,447,346,1,4,6,8,6,96,0,1,3,11,0,0,1,0,0,0,1,0,0,0,Married,Graduation,1
141,0,0,0,0,0,0,48,0,2721,46344.0,0,8,20,91,57,247,20,338,233,1,4,5,7,7,28,0,1,3,11,1,0,0,0,0,0,0,0,1,0,Together,2n Cycle,1
